"","T_CNR4_Avg","SW_in_HQ_temp_Avg","Tair_15m_Avg"
"8636",18.65119,15.14287,18.07347
"8637",18.12473,17.1755,20.4875
"8638",19.64247,19.02867,21.10072
"8639",20.8062,20.04344,21.4486
"8640",21.95513,20.87421,21.96596
"8641",22.86905,21.63577,22.21648
"8642",23.07032,21.946,22.0049
"8643",24.13025,22.95955,22.87243
"8644",25.53357,24.2069,24.13311
"8645",26.3757,24.99304,24.55625
"8646",26.83731,25.46265,24.92883
"8647",28.13308,26.72476,26.1918
"8648",28.54369,27.11303,26.64757
"8649",28.83068,27.62391,27.1771
"8650",29.56196,28.45172,28.28038
"8651",29.24612,28.21768,28.13386
"8652",29.18514,28.39206,28.58942
"8653",28.91123,28.29357,28.55401
"8654",28.4284,28.00162,28.63983
"8655",28.0294,27.82185,28.50557
"8656",27.43122,27.39901,27.94243
"8657",26.57518,26.69955,27.22754
"8658",25.1398,25.3478,25.99218
"8659",23.602,23.90199,24.69101
"8660",22.45457,22.86467,23.85127
"8661",21.6335,22.07734,23.16879
"8662",20.94759,21.30242,22.30441
"8663",20.04304,20.40719,21.57153
"8664",19.37541,19.7837,21.13002
"8665",18.97075,19.30584,20.43788
"8666",18.73902,19.1634,20.56966
"8667",18.32766,18.80611,20.22287
"8668",18.33545,18.71579,19.94736
"8669",18.07127,18.43612,19.72798
